dataset,alpha_mlp,alpha_rf,alpha_xgb,alpha_ci_lo,alpha_ci_hi,alpha_r2_fit,alpha,cluster_structure,cluster_separation,density_variation,intrinsic_dim,lid,fisher_ratio,margin,linear_probe_difficulty,anisotropy,class_entropy,class_imbalance,label_noise,n_samples,n_features,n_classes,early_loss
credit-approval,0.06472399412520362,0.03828712258303196,-0.011527891690731748,0.024066500468606408,0.09694562558291014,0.6270179586765721,0.03828712258303196,14.295856000825507,5.0403056144714355,0.48309519002548434,6.470863353209016,5.20633432651031,0.0353971265404419,1.5000670300462122,0.16425120772946855,5805.4033203125,0.6870689026587589,1.2475570032569228,0.2519668737060041,690.0,15.0,2.0,
autos,0.1353169855591795,0.8329041516800465,,0.12553479049080182,0.15177433132260576,0.9905225032342858,0.484110568619613,4.347501036655832,3.398425579071045,0.41470872514940854,2.818761105576438,2.270077107259305,0.11672170254227211,2.1742933131430644,0.3548387096774194,31019.37890625,1.5751589584151842,22.33333333258889,0.49686411149825777,205.0,25.0,6.0,
colic,0.07800915503091087,0.13943375172251699,0.17920057672776613,0.06074351152736398,0.10288527224787421,0.9441222944183046,0.13943375172251699,9.215100162647847,1.455955982208252,0.26288739220193164,10.625566092788748,8.326557085927108,0.03736882167699533,2.6411618178437166,0.15315315315315314,1183.3848876953125,0.6587238763203249,1.7058823529399223,0.2740683229813664,368.0,26.0,2.0,
anneal,0.10012698632822133,0.7061906466462876,0.9117652281085729,0.023921069115234957,0.17638038071254422,0.5735339373187809,0.7061906466462876,13.875949713627085,183.67172241210938,0.6587728707435268,2.71496319874468,2.339935537229572,0.17205709006728367,5.971200392828203,0.0444444444444444,12044033.0,0.8247299822628458,85.49999999893124,0.07857142857142857,898.0,38.0,5.0,
primary-tumor,0.0870427918576547,0.36384143443496264,,0.07317010812502632,0.1031296774895347,0.9711293454103814,0.2254421131463087,1.324533486502692,1.659859538078308,6.886840419116305,6.3066045727594595,4.3280853377717206,0.3076180689639426,0.9640710099858198,0.5,44.7487678527832,2.5256481446530077,83.9999999916,0.6603455541508639,339.0,17.0,21.0,
letter,0.29897668968885965,0.3129339820160783,0.4926348132504563,0.16118332706079702,0.5446829989909505,0.847747068977855,0.3129339820160783,3.7044829737433647,3.329280376434326,0.28566313153561756,5.3905191930736205,4.6119875191302455,0.5628675926823811,1.8616673838793991,0.28222222222222226,57.64628219604492,3.256363394075676,1.3131313131306501,0.5126530612244897,6000.0,16.0,26.0,
mfeat-morphological,0.22984975563339385,0.22886249357745825,0.20550176257319594,0.08638151394050284,0.3844540101478833,0.8362634542370166,0.22886249357745825,0.06676288100735542,1.8887120485305786,0.6098531349311777,2.958433256961799,2.4405465601245844,4.459111297778889,0.08144176538957251,0.2866666666666666,688.5567626953125,2.302585091994046,0.9999999999995001,0.3261224489795918,2000.0,6.0,10.0,
mfeat-factors,0.8081401322182765,0.2706890833793989,0.6232813292253503,0.17951463910224427,1.5534723883680361,0.7632806349668158,0.6232813292253503,34.806184449701945,3.0571885108947754,0.1630436684243433,13.46660840094572,11.359857255850844,0.09549955762406011,7.229440507793321,0.03555555555555556,1.8081474304199219,2.302585091994046,0.9999999999995001,0.25285714285714284,2000.0,80.0,10.0,
mfeat-fourier,0.38563253778758777,0.25312699722567,0.340596833249929,0.1527031864890059,0.6380370569801928,0.8480931053168903,0.340596833249929,22.272507252278523,4.247432231903076,0.25333566479536695,11.508137808354801,9.237013426222912,0.2892092930788807,5.062092668267977,0.19111111111111112,135.66151428222656,2.302585091994046,0.9999999999995001,0.3497959183673469,2000.0,76.0,10.0,
mfeat-karhunen,0.643649867380326,0.28177997260992366,0.5931385467329726,0.20838763231956542,1.1695825478710833,0.81165438691618,0.5931385467329726,19.743511804684637,4.237783908843994,0.1384449393042647,12.773085426393227,10.42595463946369,0.3044398816817235,5.608933591085298,0.040000000000000036,1097.7720947265625,2.302585091994046,0.9999999999995001,0.15653061224489795,2000.0,64.0,10.0,
